Order ID,Customer ID,Order Date,Customer Name,Region,State,Category,Product,Quantity,Sales,Discount %,Net Sales,Profit,Payment Mode,Salesperson
ORD-11159,1111,2025-01-01 07:18:16,Customer 105,North,Delhi,Furniture,Office Chair,5,50185.47,15,42657.65,4299.43,Debit Card,N. Gupta
ORD-10188,1413,2025-01-01 08:15:25,Customer 295,Central,Chhattisgarh,Furniture,Table,1,10270.9,5,9757.36,1717.82,Cash,A. Kumar
ORD-11727,1030,2025-01-02 02:34:32,Customer 494,Central,Madhya Pradesh,Electronics,Monitor,3,56119.59,10,50507.63,6211.8,Credit Card,R. Singh
ORD-11101,1250,2025-01-02 06:59:57,Customer 379,West,Gujarat,Electronics,Laptop,3,187522.6,10,168770.34,34737.22,Cash,S. Verma
ORD-11800,1448,2025-01-02 07:37:07,Customer 4,West,Maharashtra,Electronics,Smartphone,5,145174.61,5,137915.88,12196.9,UPI,A. Kumar
ORD-11801,1103,2025-01-02 08:58:44,Customer 80,South,Telangana,Furniture,Table,2,18237.74,10,16413.97,1492.92,UPI,A. Kumar
ORD-10992,1289,2025-01-02 11:21:59,Customer 194,North,Haryana,Furniture,Desk,4,44267.15,0,44267.15,6342.67,UPI,P. Sharma
ORD-10542,1159,2025-01-02 20:09:58,Customer 304,West,Gujarat,Accessories,USB Hub,1,1346.7,5,1279.37,139.98,Cash,N. Gupta
ORD-11002,1423,2025-01-03 02:18:56,Customer 147,West,Gujarat,Furniture,Table,3,29654.29,10,26688.86,3550.69,Debit Card,K. Yadav
ORD-11190,1279,2025-01-03 02:25:32,Customer 98,North,Delhi,Office Supplies,File Folder,1,197.52,0,197.52,18.53,Net Banking,K. Yadav
ORD-11107,1295,2025-01-03 08:31:14,Customer 109,Central,Chhattisgarh,Office Supplies,Printer,1,16616.73,0,16616.73,2100.29,Credit Card,S. Verma
ORD-11503,1416,2025-01-03 13:44:34,Customer 347,South,Telangana,Electronics,Headphones,5,28254.8,10,25429.32,5245.42,Debit Card,K. Yadav
ORD-10923,1013,2025-01-03 15:01:24,Customer 425,North,Delhi,Furniture,Desk,1,12815.83,10,11534.25,2867.44,Net Banking,A. Kumar
ORD-11237,1211,2025-01-03 16:16:00,Customer 161,North,Haryana,Furniture,Desk,3,33751.38,10,30376.24,4101.04,Debit Card,P. Sharma
ORD-10987,1103,2025-01-03 21:28:59,Customer 193,West,Rajasthan,Furniture,Sofa,1,27319.6,10,24587.64,3678.03,Net Banking,P. Sharma
ORD-11218,1131,2025-01-03 23:41:56,Customer 345,South,Kerala,Electronics,Smartphone,2,60782.74,15,51665.33,5969.64,Credit Card,A. Kumar
ORD-10005,1310,2025-01-04 03:30:36,Customer 191,East,Odisha,Furniture,Desk,4,46940.53,10,42246.48,7306.14,Credit Card,P. Sharma
ORD-11430,1420,2025-01-04 04:40:16,Customer 304,West,Gujarat,Electronics,Headphones,1,5039.52,15,4283.59,687.44,Debit Card,R. Singh
ORD-10335,1044,2025-01-04 06:22:20,Customer 59,South,Karnataka,Office Supplies,File Folder,2,392.27,0,392.27,45.2,Cash,A. Kumar
ORD-10224,1183,2025-01-04 07:21:51,Customer 477,West,Goa,Accessories,Keyboard,5,9434.75,15,8019.54,894.23,UPI,K. Yadav
ORD-10840,1099,2025-01-04 10:16:17,Customer 158,North,Uttar Pradesh,Furniture,Bookshelf,1,7133.1,10,6419.79,1176.82,Credit Card,P. Sharma
ORD-11103,1105,2025-01-04 11:32:47,Customer 328,North,Delhi,Office Supplies,File Folder,3,568.98,15,483.63,78.18,Debit Card,N. Gupta
ORD-11092,1324,2025-01-04 16:05:52,Customer 66,East,Odisha,Electronics,Monitor,4,74045.75,10,66641.17,5959.87,Net Banking,K. Yadav
ORD-11025,1263,2025-01-04 17:15:45,Customer 222,West,Maharashtra,Office Supplies,File Folder,5,923.68,15,785.13,153.7,Net Banking,K. Yadav
ORD-11685,1405,2025-01-05 00:13:35,Customer 392,West,Goa,Office Supplies,Printer,5,82288.3,10,74059.47,17886.92,Cash,P. Sharma
